State,nextUnsheltered,overall,unsheltered,population,unemployment
LA,1191,4606,1103,4644013,6.4
MA,593,21237,759,6762596,5.7
MD,1796,7856,1589,5957283,5.8
ME,59,2726,93,1330513,5.6
MI,1072,12227,2152,9929848,7.2
MN,841,8377,795,5451079,4.2
MO,1071,7282,973,6056202,6.1
MS,842,2226,821,2990468,7.5
MT,872,1745,834,1021869,4.7
NC,2425,11491,2617,9932887,6.3
ND,486,1258,464,737401,2.7
NE,123,3026,109,1879321,3.3
NH,132,1376,133,1333341,4.3
NJ,974,11671,935,8864525,6.8
NM,454,2746,428,2089568,6.7
NV,4215,8582,3785,2817628,7.9
NY,4022,80590,4103,19651049,6.3
OH,1099,11823,1103,11602700,5.8
OK,778,4191,932,3878187,4.5
OR,7395,12164,6063,3963244,6.8
PA,1428,15333,1032,12788313,5.9
RI,36,1190,20,1055936,7.7
SC,1896,5057,1808,4823617,6.5
SD,136,885,55,849129,3.4
TN,3244,9415,3032,6541223,6.6
TX,7486,28495,10267,26964333,5.1
UT,226,3081,313,2936879,3.8
VA,811,7020,690,8310993,5.2
VT,150,1559,163,625214,3.9
WA,7121,18442,5902,7054655,6.1
WI,442,6055,343,5751525,5.4
WV,432,2013,430,1849489,6.6
WY,291,757,194,582531,4.1
AK,145,1946,205,737068,7
AL,1043,4689,1443,4830081,7.2
AR,1433,3812,2148,2959400,7.2
AZ,2569,10562,3131,6632764,7.7
CA,71437,118552,72998,38260787,8.9
CO,1945,9754,2163,5269035,6.9
CT,919,4448,919,3594841,7.8
DC,396,6865,512,650581,8.5
DE,37,946,10,923576,6.7
FL,21691,47862,28192,19545621,7.2
GA,8307,16971,8461,9972479,8.2
HI,3105,6335,2590,1408243,4.9
IA,196,3084,134,3092997,4.7
ID,636,1781,377,1611206,6.1
IL,1698,13425,2196,12895129,9
IN,403,6096,700,6568713,7.7
KS,249,2693,311,2893212,5.3
KY,831,5245,754,4404659,8
LA,1103,5226,1575,4624527,6.7
MA,759,19029,850,6713315,6.7
MD,1589,8205,1922,5923188,6.6
ME,93,3016,62,1328009,6.6
MI,2152,11527,2188,9913065,8.8
MN,795,8214,915,5413479,5
MO,973,8581,2080,6040715,6.7
MS,821,2403,1320,2988711,8.5
MT,834,1878,784,1013569,5.4
NC,2617,12168,3155,9843336,8
ND,464,2069,1395,722036,2.9
NE,109,3145,173,1865279,3.8
NH,133,1447,202,1326622,5.1
NJ,935,12002,1399,8856972,8.2
NM,428,2819,428,2092273,6.9
NV,3785,7039,3341,2775970,9.6
NY,4103,77430,4157,19624447,7.7
OH,1103,12325,1338,11576684,7.5
OK,932,4408,1146,3853214,5.3
OR,6063,13822,7390,3922468,7.9
PA,1032,15086,1359,12776309,7.4
RI,20,1384,117,1055081,9.3
SC,1808,6544,3133,4764080,7.6
SD,55,1094,339,842316,3.8
TN,3032,9528,3207,6494340,7.8
TX,10267,29615,12090,26480266,6.3
UT,313,3277,418,2897640,4.6
VA,690,7625,1022,8252427,5.7
VT,163,1454,184,626210,4.4
