State,nextUnsheltered,overall,unsheltered,population,unemployment
AK,273,2016,309,735139,6.6
AL,1191,3434,1010,4887681,3.9
AR,1415,2712,1257,3009733,3.7
AZ,4532,9865,4066,7158024,4.8
CA,108432,129972,89543,39461588,4.2
CO,2188,10857,4329,5691287,3.3
CT,456,3976,581,3571520,4.1
DC,608,6904,600,701547,5.6
DE,95,1082,93,965479,3.8
FL,12476,31030,13393,21244317,3.6
GA,3880,9499,3599,10511131,3.9
HI,3640,6530,3475,1420593,2.4
IA,188,2749,241,3148618,2.5
ID,985,2012,723,1750536,2.8
IL,1889,10643,1942,12723071,4.3
IN,642,5258,579,6695497,3.4
KS,475,2216,357,2911359,3.4
KY,779,3688,868,4461153,4.3
LA,974,3059,1065,4659690,4.9
MA,829,20068,985,6882635,3.3
MD,1348,7144,1764,6035802,3.9
ME,95,2516,98,1339057,3.4
MI,662,8351,899,9984072,4.1
MN,1653,7243,1121,5606249,2.9
MO,976,5883,1214,6121623,3.2
MS,486,1352,621,2981020,4.8
MT,345,1405,373,1060665,3.7
NC,2268,9268,2450,10381615,3.9
ND,12,542,48,758080,2.6
NE,110,2421,144,1925614,2.8
NH,149,1450,154,1353465,2.5
NJ,1482,9398,1623,8886025,4.1
NM,1259,2551,796,2092741,4.9
NV,3807,7544,4239,3027341,4.6
NY,4047,91897,4294,19530351,4.1
OH,1507,10249,1315,11676341,4.6
OK,1237,3871,1191,3940235,3.4
OR,10142,14476,8925,4181886,4.2
PA,1630,13512,1744,12800922,4.3
RI,71,1101,51,1058287,4.1
SC,1717,3933,1344,5084156,3.4
SD,234,1159,285,878698,3
TN,2598,7883,2855,6771631,3.5
TX,11222,25310,10534,28628666,3.9
UT,408,2876,420,3153550,3.1
VA,859,5975,915,8501286,3
VT,114,1291,82,624358,2.7
WA,9557,22304,10621,7523869,4.5
WI,295,4907,382,5807406,3
WV,248,1243,183,1804291,5.3
WY,125,639,199,577601,4.1
