,State,PreviousYear,Prediction
0,AK,309,330.413
1,AL,1010,1076.259
2,AR,1257,1312.5964
3,AZ,4066,3827.1418
4,CA,89543,87951.134
5,CO,4329,4019.4352
6,CT,581,565.2184
7,DC,600,443.1984
8,DE,93,133.1028
9,FL,13393,11962.2572
10,GA,3599,3696.7022
11,HI,3475,3115.0244
12,IA,241,282.1732
13,ID,723,688.5668
14,IL,1942,2069.214
15,IN,579,612.2666
16,KS,357,343.0212
17,KY,868,923.8958
18,LA,1065,1197.3934
19,MA,985,976.3482
20,MD,1764,2178.3078
21,ME,98,131.7768
22,MI,899,997.44
23,MN,1121,1161.335
24,MO,1214,1203.8404
25,MS,621,581.3724
26,MT,373,353.124
27,NC,2450,2398.7316
28,ND,48,138.806
29,NE,144,133.5006
30,NH,154,154.56
31,NJ,1623,1629.2076
32,NM,796,763.8048
33,NV,4239,3969.2272
34,NY,4294,4282.1862
35,OH,1315,1323.6682
36,OK,1191,1208.9088
37,OR,8925,9135.5032
38,PA,1744,1939.3234
39,RI,51,83.2154
40,SC,1344,1221.3294
41,SD,285,267.4858
42,TN,2855,2999.4998
43,TX,10534,9377.55
44,UT,420,405.7204
45,VA,915,959.501
46,VT,82,125.34
47,WA,10621,10150.0728
48,WI,382,418.7046
49,WV,183,177.2556
50,WY,199,284.3752
